"AA",34.76,"2/15/2007 1:12pm",+0.19,34.45,35.09,34.04,8179300
"AIG",69.05,"2/15/2007 1:12pm",-0.21,69.13,69.33,68.92,3582700
"AXP",58.86,"2/15/2007 1:12pm",+0.17,58.52,59.12,58.52,2939000
"BA",91.27,"2/15/2007 1:12pm",+1.33,90.02,91.45,89.86,3056000
"C",54.095,"2/15/2007 1:12pm",-0.085,54.20,54.52,54.04,7051700
"CAT",67.42,"2/15/2007 1:12pm",+1.26,68.00,68.20,67.00,6435600
"DD",51.77,"2/15/2007 1:12pm",-0.02,52.02,52.17,51.61,2473200
"DIS",34.37,"2/15/2007 1:12pm",-0.38,34.70,34.73,34.17,6131000
"GE",36.12,"2/15/2007 1:12pm",-0.35,36.36,36.47,36.08,19428600
"GM",36.55,"2/15/2007 1:12pm",+0.05,36.45,36.70,36.42,3561900
"HD",41.76,"2/15/2007 1:12pm",+0.03,41.57,41.82,41.32,5057000
"HON",47.31,"2/15/2007 1:12pm",-0.23,47.38,47.57,47.15,1612300
"HPQ",42.65,"2/15/2007 1:12pm",-0.18,42.72,42.98,42.64,5209500
"IBM",98.70,"2/15/2007 1:12pm",-0.50,99.06,99.52,98.55,2774400
"INTC",21.22,"2/15/2007 1:17pm",+0.08,21.15,21.28,21.13,25394096
"JNJ",65.88,"2/15/2007 1:12pm",+0.03,65.75,65.93,65.59,4612900
"JPM",51.24,"2/15/2007 1:12pm",-0.18,51.05,51.45,50.89,5804200
"KO",47.70,"2/15/2007 1:12pm",-0.18,47.99,48.10,47.69,6177300
"MCD",44.97,"2/15/2007 1:12pm",-0.05,44.90,45.24,44.84,2279200
"MMM",76.99,"2/15/2007 1:12pm",+0.15,76.90,77.38,76.60,1818900
"MO",86.33,"2/15/2007 1:12pm",-0.06,86.38,86.61,85.90,5083700
"MRK",43.98,"2/15/2007 1:12pm",-0.08,43.91,44.06,43.70,5497200
"MSFT",29.50,"2/15/2007 1:17pm",+0.10,29.55,29.65,29.22,33547704
"PFE",26.45,"2/15/2007 1:12pm",-0.13,26.58,26.58,26.35,18655200
"PG",65.03,"2/15/2007 1:12pm",+0.15,64.80,65.40,64.80,3188100
"T",37.19,"2/15/2007 1:12pm",0.00,37.31,37.37,37.03,8017900
"UTX",69.20,"2/15/2007 1:12pm",+1.03,68.51,69.35,68.26,3262100
"VZ",38.53,"2/15/2007 1:12pm",-0.10,38.53,38.68,38.45,3775800
"WMT",48.46,"2/15/2007 1:12pm",+0.59,47.90,48.54,47.82,5946700
"XOM",75.06,"2/15/2007 1:12pm",-0.54,75.19,75.49,74.72,9397700

